scenario_id,level,bn_fault_var,bn_fault_state,bfm_var,bfm_fault_state,belief,plausibility,width,empty_set_mass,bfm_rank
14,L0_complete,F_sw_2,detached,SW2,det,0.03,0.03,0,0.99525,4
14,L0_complete,F_sw_3,detached,SW3,det,0.03,0.03,0,0.99525,5
14,L0_complete,F_sw_4,detached,SW4,det,0.03,0.03,0,0.99525,6
14,L0_complete,F_sw_5,detached,SW5,det,0.03,0.03,0,0.99525,7
14,L0_complete,F_sw_6,detached,SW6,det,0.03,0.03,0,0.99525,8
14,L0_complete,F_sw_7,detached,SW7,det,0.03,0.03,0,0.99525,9
14,L0_complete,F_sw_8,detached,SW8,det,0.03,0.03,0,0.99525,10
14,L0_complete,F_cable_1,broken,C1,bro,0.02,0.02,0,0.99525,11
14,L0_complete,F_cable_2,broken,C2,bro,0.02,0.02,0,0.99525,12
14,L0_complete,F_cable_3,broken,C3,bro,0.02,0.02,0,0.99525,13
14,L0_complete,F_cable_4,broken,C4,bro,0.02,0.02,0,0.99525,14
14,L0_complete,F_cable_5,broken,C5,bro,0.02,0.02,0,0.99525,15
14,L0_complete,F_cable_6,broken,C6,bro,0.02,0.02,0,0.99525,16
14,L0_complete,F_cable_7,broken,C7,bro,0.02,0.02,0,0.99525,17
14,L0_complete,F_cable_8,broken,C8,bro,0.02,0.02,0,0.99525,18
14,L0_complete,F_cable_load,broken,CL,bro,0.02,0.02,0,0.99525,19
14,L0_complete,F_lamp,broken,LF,bro,0.015,0.015,0,0.99525,20
